Team Name,Against Team,Date,Home Team,Away Team,FT,HT,HTFT,ATFT,HTHT,ATHT,Result,Half-Time Result,Half-Time leading team Win?,MainTeamW_L,MainTeamW_LBin,HTWL,ATWL,HTWS,ATWS,HTBS,ATBS,HTTR,ATTR,Grouped Team Rating,Against Team Rating,Home Team Rating,Away Team Rating,MatchFixtureRating
Arsenal,Sunderland,19-08-2000,Sunderland,Arsenal,1-0,0-0,1,0,0,0,Sunderland,Draw,Draw,L,0,W,L,3,0,1,0,4,0,6.11391,2.46805,2.57895,6.36982,-4
Aston Villa,Leicester,19-08-2000,Leicester,Aston Villa,0-0,0-0,0,0,0,0,Draw,Draw,Draw,D,1,D,D,1,1,0,0,1,1,3.27303,3.27132,3.45736,3.39474,0
Bradford,Liverpool,19-08-2000,Liverpool,Bradford,1-0,0-0,1,0,0,0,Liverpool,Draw,Draw,L,0,W,L,3,0,1,0,4,0,1.42105,5.61095,5.39349,0.94737,-4
Charlton,Man City,19-08-2000,Charlton,Man City,4-0,2-0,4,0,2,0,Charlton,Charlton,Yes,W,2,W,L,3,0,9,0,12,0,3.31955,5.22763,3.52632,5.09748,12
Chelsea,West Ham,19-08-2000,Chelsea,West Ham,4-2,1-0,4,2,1,0,Chelsea,Chelsea,Yes,W,2,W,L,3,0,7,0,10,0,6.53550,3.20641,6.07692,3.03901,10
Coventry,Middlesbrough,19-08-2000,Coventry,Middlesbrough,1-3,1-1,1,3,1,1,Middlesbrough,Draw,Draw,L,0,L,W,0,8,0,2,0,10,2.60526,3.09211,2.31579,2.78947,-10
Derby,Southampton,19-08-2000,Derby,Southampton,2-2,1-2,2,2,1,2,Draw,Southampton,No,D,1,D,D,1,1,0,0,1,1,1.83333,3.30000,2.29825,3.13725,0
Everton,Leeds,19-08-2000,Leeds,Everton,2-0,2-0,2,0,2,0,Leeds,Leeds,Yes,L,0,W,L,3,0,7,0,10,0,3.77663,4.25658,3.52632,3.46450,-10
Ipswich,Tottenham,19-08-2000,Tottenham,Ipswich,3-1,2-1,3,1,2,1,Tottenham,Tottenham,Yes,L,0,W,L,3,0,7,0,10,0,3.63158,4.57396,4.78402,3.94737,-10
Leeds,Everton,19-08-2000,Leeds,Everton,2-0,2-0,2,0,2,0,Leeds,Leeds,Yes,W,2,W,L,3,0,7,0,10,0,4.25658,3.77663,3.52632,3.46450,10
Leicester,Aston Villa,19-08-2000,Leicester,Aston Villa,0-0,0-0,0,0,0,0,Draw,Draw,Draw,D,1,D,D,1,1,0,0,1,1,3.27132,3.27303,3.45736,3.39474,0
Liverpool,Bradford,19-08-2000,Liverpool,Bradford,1-0,0-0,1,0,0,0,Liverpool,Draw,Draw,W,2,W,L,3,0,1,0,4,0,5.61095,1.42105,5.39349,0.94737,4
Man City,Charlton,19-08-2000,Charlton,Man City,4-0,2-0,4,0,2,0,Charlton,Charlton,Yes,L,0,W,L,3,0,9,0,12,0,5.22763,3.31955,3.52632,5.09748,-12
Middlesbrough,Coventry,19-08-2000,Coventry,Middlesbrough,1-3,1-1,1,3,1,1,Middlesbrough,Draw,Draw,W,2,L,W,0,8,0,2,0,10,3.09211,2.60526,2.31579,2.78947,10
Southampton,Derby,19-08-2000,Derby,Southampton,2-2,1-2,2,2,1,2,Draw,Southampton,No,D,1,D,D,1,1,0,0,1,1,3.30000,1.83333,2.29825,3.13725,0
Sunderland,Arsenal,19-08-2000,Sunderland,Arsenal,1-0,0-0,1,0,0,0,Sunderland,Draw,Draw,W,2,W,L,3,0,1,0,4,0,2.46805,6.11391,2.57895,6.36982,4
Tottenham,Ipswich,19-08-2000,Tottenham,Ipswich,3-1,2-1,3,1,2,1,Tottenham,Tottenham,Yes,W,2,W,L,3,0,7,0,10,0,4.57396,3.63158,4.78402,3.94737,10
West Ham,Chelsea,19-08-2000,Chelsea,West Ham,4-2,1-0,4,2,1,0,Chelsea,Chelsea,Yes,L,0,W,L,3,0,7,0,10,0,3.20641,6.53550,6.07692,3.03901,-10
Man United,Newcastle,20-08-2000,Man United,Newcastle,2-0,1-0,2,0,1,0,Man United,Man United,Yes,W,2,W,L,3,0,7,0,10,0,6.81657,3.47167,6.56509,3.16000,10
Newcastle,Man United,20-08-2000,Man United,Newcastle,2-0,1-0,2,0,1,0,Man United,Man United,Yes,L,0,W,L,3,0,7,0,10,0,3.47167,6.81657,6.56509,3.16000,-10
Arsenal,Liverpool,21-08-2000,Arsenal,Liverpool,2-0,1-0,2,0,1,0,Arsenal,Arsenal,Yes,W,2,W,L,3,0,7,0,10,0,6.11391,5.61095,5.85799,5.82840,10
Liverpool,Arsenal,21-08-2000,Arsenal,Liverpool,2-0,1-0,2,0,1,0,Arsenal,Arsenal,Yes,L,0,W,L,3,0,7,0,10,0,5.61095,6.11391,5.85799,5.82840,-10
Bradford,Chelsea,22-08-2000,Bradford,Chelsea,2-0,1-0,2,0,1,0,Bradford,Bradford,Yes,W,2,W,L,3,0,7,0,10,0,1.42105,6.53550,1.89474,6.99408,10
Chelsea,Bradford,22-08-2000,Bradford,Chelsea,2-0,1-0,2,0,1,0,Bradford,Bradford,Yes,L,0,W,L,3,0,7,0,10,0,6.53550,1.42105,1.89474,6.99408,-10
Ipswich,Man United,22-08-2000,Ipswich,Man United,1-1,1-1,1,0,1,1,Draw,Draw,Draw,D,1,D,D,1,1,0,0,1,1,3.63158,6.81657,3.31579,7.06805,0
Man United,Ipswich,22-08-2000,Ipswich,Man United,1-1,1-1,1,0,1,1,Draw,Draw,Draw,D,1,D,D,1,1,0,0,1,1,6.81657,3.63158,3.31579,7.06805,0
Middlesbrough,Tottenham,22-08-2000,Middlesbrough,Tottenham,1-1,0-1,1,1,0,1,Draw,Tottenham,No,D,1,D,D,1,1,0,0,1,1,3.09211,4.57396,3.39474,4.36391,0
Tottenham,Middlesbrough,22-08-2000,Middlesbrough,Tottenham,1-1,0-1,1,1,0,1,Draw,Tottenham,No,D,1,D,D,1,1,0,0,1,1,4.57396,3.09211,3.39474,4.36391,0
Charlton,Everton,23-08-2000,Everton,Charlton,3-0,0-0,3,0,0,0,Everton,Draw,Draw,L,0,W,L,3,0,3,0,6,0,3.31955,3.77663,4.08876,3.11278,-6
Coventry,Southampton,23-08-2000,Southampton,Coventry,1-2,0-1,1,2,0,1,Coventry,Coventry,Yes,W,2,L,W,0,8,0,6,0,14,2.60526,3.30000,3.46117,2.89474,14
Derby,Newcastle,23-08-2000,Newcastle,Derby,3-2,1-1,3,2,1,1,Newcastle,Draw,Draw,L,0,W,L,3,0,1,0,4,0,1.83333,3.47167,3.78333,1.36842,-4
Everton,Charlton,23-08-2000,Everton,Charlton,3-0,0-0,3,0,0,0,Everton,Draw,Draw,W,2,W,L,3,0,3,0,6,0,3.77663,3.31955,4.08876,3.11278,6
Leicester,West Ham,23-08-2000,West Ham,Leicester,0-1,0-0,0,1,0,0,Leicester,Draw,Draw,W,2,L,W,0,8,0,1,0,9,3.27132,3.20641,3.37500,3.08527,9
Man City,Sunderland,23-08-2000,Man City,Sunderland,4-2,2-0,4,2,2,0,Man City,Man City,Yes,W,2,W,L,3,0,7,0,10,0,5.22763,2.46805,5.35737,2.35714,10
Newcastle,Derby,23-08-2000,Newcastle,Derby,3-2,1-1,3,2,1,1,Newcastle,Draw,Draw,W,2,W,L,3,0,1,0,4,0,3.47167,1.83333,3.78333,1.36842,4
Southampton,Coventry,23-08-2000,Southampton,Coventry,1-2,0-1,1,2,0,1,Coventry,Coventry,Yes,L,0,L,W,0,8,0,6,0,14,3.30000,2.60526,3.46117,2.89474,-14
Sunderland,Man City,23-08-2000,Man City,Sunderland,4-2,2-0,4,2,2,0,Man City,Man City,Yes,L,0,W,L,3,0,7,0,10,0,2.46805,5.22763,5.35737,2.35714,-10
West Ham,Leicester,23-08-2000,West Ham,Leicester,0-1,0-0,0,1,0,0,Leicester,Draw,Draw,L,0,L,W,0,8,0,1,0,9,3.20641,3.27132,3.37500,3.08527,-9
Arsenal,Charlton,26-08-2000,Arsenal,Charlton,5-3,1-2,5,3,1,2,Arsenal,Charlton,No,W,2,W,L,3,0,2,0,5,0,6.11391,3.31955,5.85799,3.11278,5
Bradford,Leicester,26-08-2000,Bradford,Leicester,0-0,0-0,0,0,0,0,Draw,Draw,Draw,D,1,D,D,1,1,0,0,1,1,1.42105,3.27132,1.89474,3.08527,0
Charlton,Arsenal,26-08-2000,Arsenal,Charlton,5-3,1-2,5,3,1,2,Arsenal,Charlton,No,L,0,W,L,3,0,2,0,5,0,3.31955,6.11391,5.85799,3.11278,-5
Coventry,Man City,26-08-2000,Man City,Coventry,1-2,0-2,1,2,0,2,Coventry,Coventry,Yes,W,2,L,W,0,8,0,6,0,14,2.60526,5.22763,5.35737,2.89474,14
Derby,Everton,26-08-2000,Everton,Derby,2-2,2-0,2,2,2,0,Draw,Everton,No,D,1,D,D,1,1,0,0,1,1,1.83333,3.77663,4.08876,1.36842,0
Everton,Derby,26-08-2000,Everton,Derby,2-2,2-0,2,2,2,0,Draw,Everton,No,D,1,D,D,1,1,0,0,1,1,3.77663,1.83333,4.08876,1.36842,0
Ipswich,Sunderland,26-08-2000,Ipswich,Sunderland,1-0,0-0,1,0,0,0,Ipswich,Draw,Draw,W,2,W,L,3,0,1,0,4,0,3.63158,2.46805,3.31579,2.35714,4
Leeds,Middlesbrough,26-08-2000,Middlesbrough,Leeds,1-2,0-2,1,2,0,2,Leeds,Leeds,Yes,W,2,L,W,0,8,0,6,0,14,4.25658,3.09211,3.39474,4.98684,14
Leicester,Bradford,26-08-2000,Bradford,Leicester,0-0,0-0,0,0,0,0,Draw,Draw,Draw,D,1,D,D,1,1,0,0,1,1,3.27132,1.42105,1.89474,3.08527,0
Liverpool,Southampton,26-08-2000,Southampton,Liverpool,3-3,0-1,3,3,0,1,Draw,Liverpool,No,D,1,D,D,1,1,0,0,1,1,5.61095,3.30000,3.46117,5.82840,0
Man City,Coventry,26-08-2000,Man City,Coventry,1-2,0-2,1,2,0,2,Coventry,Coventry,Yes,L,0,L,W,0,8,0,6,0,14,5.22763,2.60526,5.35737,2.89474,-14
Man United,West Ham,26-08-2000,West Ham,Man United,2-2,0-1,2,2,0,1,Draw,Man United,No,D,1,D,D,1,1,0,0,1,1,6.81657,3.20641,3.37500,7.06805,0
Middlesbrough,Leeds,26-08-2000,Middlesbrough,Leeds,1-2,0-2,1,2,0,2,Leeds,Leeds,Yes,L,0,L,W,0,8,0,6,0,14,3.09211,4.25658,3.39474,4.98684,-14
Newcastle,Tottenham,26-08-2000,Newcastle,Tottenham,2-0,1-0,2,0,1,0,Newcastle,Newcastle,Yes,W,2,W,L,3,0,7,0,10,0,3.47167,4.57396,3.78333,4.36391,10
Southampton,Liverpool,26-08-2000,Southampton,Liverpool,3-3,0-1,3,3,0,1,Draw,Liverpool,No,D,1,D,D,1,1,0,0,1,1,3.30000,5.61095,3.46117,5.82840,0
Sunderland,Ipswich,26-08-2000,Ipswich,Sunderland,1-0,0-0,1,0,0,0,Ipswich,Draw,Draw,L,0,W,L,3,0,1,0,4,0,2.46805,3.63158,3.31579,2.35714,-4
Tottenham,Newcastle,26-08-2000,Newcastle,Tottenham,2-0,1-0,2,0,1,0,Newcastle,Newcastle,Yes,L,0,W,L,3,0,7,0,10,0,4.57396,3.47167,3.78333,4.36391,-10
West Ham,Man United,26-08-2000,West Ham,Man United,2-2,0-1,2,2,0,1,Draw,Man United,No,D,1,D,D,1,1,0,0,1,1,3.20641,6.81657,3.37500,7.06805,0
Aston Villa,Chelsea,27-08-2000,Aston Villa,Chelsea,1-1,1-1,1,1,1,1,Draw,Draw,Draw,D,1,D,D,1,1,0,0,1,1,3.27303,6.53550,3.15132,6.99408,0
Chelsea,Aston Villa,27-08-2000,Aston Villa,Chelsea,1-1,1-1,1,1,1,1,Draw,Draw,Draw,D,1,D,D,1,1,0,0,1,1,6.53550,3.27303,3.15132,6.99408,0
Bradford,Man United,05-09-2000,Man United,Bradford,6-0,2-0,6,0,2,0,Man United,Man United,Yes,L,0,W,L,3,0,10,0,13,0,1.42105,6.81657,6.56509,0.94737,-13
Everton,Tottenham,05-09-2000,Tottenham,Everton,3-2,1-2,3,2,1,2,Tottenham,Everton,No,L,0,W,L,3,0,1,0,4,0,3.77663,4.57396,4.78402,3.46450,-4
Leeds,Man City,05-09-2000,Leeds,Man City,1-2,0-2,1,2,0,2,Man City,Man City,Yes,L,0,L,W,0,8,0,6,0,14,4.25658,5.22763,3.52632,5.09748,-14
Man City,Leeds,05-09-2000,Leeds,Man City,1-2,0-2,1,2,0,2,Man City,Man City,Yes,W,2,L,W,0,8,0,6,0,14,5.22763,4.25658,3.52632,5.09748,14
Man United,Bradford,05-09-2000,Man United,Bradford,6-0,2-0,6,0,2,0,Man United,Man United,Yes,W,2,W,L,3,0,10,0,13,0,6.81657,1.42105,6.56509,0.94737,13
Sunderland,West Ham,05-09-2000,Sunderland,West Ham,1-1,1-1,1,1,1,1,Draw,Draw,Draw,D,1,D,D,1,1,0,0,1,1,2.46805,3.20641,2.57895,3.03901,0
Tottenham,Everton,05-09-2000,Tottenham,Everton,3-2,1-2,3,2,1,2,Tottenham,Everton,No,W,2,W,L,3,0,1,0,4,0,4.57396,3.77663,4.78402,3.46450,4
West Ham,Sunderland,05-09-2000,Sunderland,West Ham,1-1,1-1,1,1,1,1,Draw,Draw,Draw,D,1,D,D,1,1,0,0,1,1,3.20641,2.46805,2.57895,3.03901,0
Arsenal,Chelsea,06-09-2000,Chelsea,Arsenal,2-2,1-0,2,2,1,0,Draw,Chelsea,No,D,1,D,D,1,1,0,0,1,1,6.11391,6.53550,6.07692,6.36982,0
Aston Villa,Liverpool,06-09-2000,Liverpool,Aston Villa,3-1,3-0,3,1,3,0,Liverpool,Liverpool,Yes,L,0,W,L,3,0,7,0,10,0,3.27303,5.61095,5.39349,3.39474,-10
Charlton,Southampton,06-09-2000,Charlton,Southampton,1-1,0-0,1,1,0,0,Draw,Draw,Draw,D,1,D,D,1,1,0,0,1,1,3.31955,3.30000,3.52632,3.13725,0
Chelsea,Arsenal,06-09-2000,Chelsea,Arsenal,2-2,1-0,2,2,1,0,Draw,Chelsea,No,D,1,D,D,1,1,0,0,1,1,6.53550,6.11391,6.07692,6.36982,0
Coventry,Newcastle,06-09-2000,Coventry,Newcastle,0-2,0-1,0,2,0,1,Newcastle,Newcastle,Yes,L,0,L,W,0,8,0,7,0,15,2.60526,3.47167,2.31579,3.16000,-15
Derby,Middlesbrough,06-09-2000,Derby,Middlesbrough,3-3,0-1,3,3,0,1,Draw,Middlesbrough,No,D,1,D,D,1,1,0,0,1,1,1.83333,3.09211,2.29825,2.78947,0
Ipswich,Leicester,06-09-2000,Leicester,Ipswich,2-1,0-0,2,1,0,0,Leicester,Draw,Draw,L,0,W,L,3,0,1,0,4,0,3.63158,3.27132,3.45736,3.94737,-4
Leicester,Ipswich,06-09-2000,Leicester,Ipswich,2-1,0-0,2,1,0,0,Leicester,Draw,Draw,W,2,W,L,3,0,1,0,4,0,3.27132,3.63158,3.45736,3.94737,4
Liverpool,Aston Villa,06-09-2000,Liverpool,Aston Villa,3-1,3-0,3,1,3,0,Liverpool,Liverpool,Yes,W,2,W,L,3,0,7,0,10,0,5.61095,3.27303,5.39349,3.39474,10
Middlesbrough,Derby,06-09-2000,Derby,Middlesbrough,3-3,0-1,3,3,0,1,Draw,Middlesbrough,No,D,1,D,D,1,1,0,0,1,1,3.09211,1.83333,2.29825,2.78947,0
Newcastle,Coventry,06-09-2000,Coventry,Newcastle,0-2,0-1,0,2,0,1,Newcastle,Newcastle,Yes,W,2,L,W,0,8,0,7,0,15,3.47167,2.60526,2.31579,3.16000,15
Southampton,Charlton,06-09-2000,Charlton,Southampton,1-1,0-0,1,1,0,0,Draw,Draw,Draw,D,1,D,D,1,1,0,0,1,1,3.30000,3.31955,3.52632,3.13725,0
Arsenal,Bradford,09-09-2000,Bradford,Arsenal,1-1,1-0,1,1,1,0,Draw,Bradford,No,D,1,D,D,1,1,0,0,1,1,6.11391,1.42105,1.89474,6.36982,0
Aston Villa,Ipswich,09-09-2000,Ipswich,Aston Villa,1-2,0-1,1,2,0,1,Aston Villa,Aston Villa,Yes,W,2,L,W,0,8,0,6,0,14,3.27303,3.63158,3.31579,3.39474,14
Bradford,Arsenal,09-09-2000,Bradford,Arsenal,1-1,1-0,1,1,1,0,Draw,Bradford,No,D,1,D,D,1,1,0,0,1,1,1.42105,6.11391,1.89474,6.36982,0
Chelsea,Newcastle,09-09-2000,Newcastle,Chelsea,0-0,0-0,0,0,0,0,Draw,Draw,Draw,D,1,D,D,1,1,0,0,1,1,6.53550,3.47167,3.78333,6.99408,0
